"country","year","sex","cause","e0","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","e17","e18","e19","e20","e21","e22","e23","e24","e25","e26","e27","e28","e29","e30","e31","e32","e33","e34","e35","e36","e37","e38","e39","e40","e41","e42","e43","e44","e45","e46","e47","e48","e49","e50","e51","e52","e53","e54","e55","e56","e57","e58","e59","e60","e61","e62","e63","e64","e65","e66","e67","e68","e69","e70","e71","e72","e73","e74","e75","e76","e77","e78","e79","e80","e81","e82","e83","e84","e85","e86","e87","e88","e89","e90","e91","e92","e93","e94","e95","e96","e97","e98","e99","e100"
"USA",1959,1,1,2090635.51,2083899.01,2067329.61,2014237.54,2000696.01,1969596.73,1909952.3,1875830.03,1811284.23,1761428.06,1769513.12,1782562.94,1846412.33,1425748.59,1428673.28,1418821.4,1447349.65,1306900.32,1186096.88,1097419.72,1067916.37,1047094.49,1012420.91,1033004.1,1032199.07,998315.64,1049097.84,1097894.75,1119174.73,1112354.79,1131831.5,1174427.82,1171003.25,1197128.05,1221232.26,1209280.81,1217570.7,1253023.33,1199060.09,1164016.87,1157418.88,1153999.72,1117179.23,1105962.14,1108319.05,1095975.1,1081869.49,1059591.1,1044839.57,1027885.77,990729,956167.98,931956.26,907770.83,881383.05,863044.87,833605.66,809150.41,803489.57,761952.36,721992.12,697586.92,679988.38,657644.27,638865.26,626151.41,608508.21,578306.63,549932.49,533163.98,498601.15,459458.36,427780.49,399514.03,364829.13,328641.45,293540.76,265762.8,233426.57,204624.04,171989.22,149924.95,132128.7,114394.68,95316.3,76716.54,63153.94,50763.9,39996.28,31387.33,23115.03,16958.98,12586.03,8996.44,6140.39,4152.98,2848.31,1934.93,1324.31,864.06,1687.33
"USA",1959,1,2,2090635.51,2083899.01,2067329.61,2014237.54,2000696.01,1969596.73,1909952.3,1875830.03,1811284.23,1761428.06,1769513.12,1782562.94,1846412.33,1425748.59,1428673.28,1418821.4,1447349.65,1306900.32,1186096.88,1097419.72,1067916.37,1047094.49,1012420.91,1033004.1,1032199.07,998315.64,1049097.84,1097894.75,1119174.73,1112354.79,1131831.5,1174427.82,1171003.25,1197128.05,1221232.26,1209280.81,1217570.7,1253023.33,1199060.09,1164016.87,1157418.88,1153999.72,1117179.23,1105962.14,1108319.05,1095975.1,1081869.49,1059591.1,1044839.57,1027885.77,990729,956167.98,931956.26,907770.83,881383.05,863044.87,833605.66,809150.41,803489.57,761952.36,721992.12,697586.92,679988.38,657644.27,638865.26,626151.41,608508.21,578306.63,549932.49,533163.98,498601.15,459458.36,427780.49,399514.03,364829.13,328641.45,293540.76,265762.8,233426.57,204624.04,171989.22,149924.95,132128.7,114394.68,95316.3,76716.54,63153.94,50763.9,39996.28,31387.33,23115.03,16958.98,12586.03,8996.44,6140.39,4152.98,2848.31,1934.93,1324.31,864.06,1687.33
"USA",1959,1,3,2090635.51,2083899.01,2067329.61,2014237.54,2000696.01,1969596.73,1909952.3,1875830.03,1811284.23,1761428.06,1769513.12,1782562.94,1846412.33,1425748.59,1428673.28,1418821.4,1447349.65,1306900.32,1186096.88,1097419.72,1067916.37,1047094.49,1012420.91,1033004.1,1032199.07,998315.64,1049097.84,1097894.75,1119174.73,1112354.79,1131831.5,1174427.82,1171003.25,1197128.05,1221232.26,1209280.81,1217570.7,1253023.33,1199060.09,1164016.87,1157418.88,1153999.72,1117179.23,1105962.14,1108319.05,1095975.1,1081869.49,1059591.1,1044839.57,1027885.77,990729,956167.98,931956.26,907770.83,881383.05,863044.87,833605.66,809150.41,803489.57,761952.36,721992.12,697586.92,679988.38,657644.27,638865.26,626151.41,608508.21,578306.63,549932.49,533163.98,498601.15,459458.36,427780.49,399514.03,364829.13,328641.45,293540.76,265762.8,233426.57,204624.04,171989.22,149924.95,132128.7,114394.68,95316.3,76716.54,63153.94,50763.9,39996.28,31387.33,23115.03,16958.98,12586.03,8996.44,6140.39,4152.98,2848.31,1934.93,1324.31,864.06,1687.33
"USA",1959,1,4,2090635.51,2083899.01,2067329.61,2014237.54,2000696.01,1969596.73,1909952.3,1875830.03,1811284.23,1761428.06,1769513.12,1782562.94,1846412.33,1425748.59,1428673.28,1418821.4,1447349.65,1306900.32,1186096.88,1097419.72,1067916.37,1047094.49,1012420.91,1033004.1,1032199.07,998315.64,1049097.84,1097894.75,1119174.73,1112354.79,1131831.5,1174427.82,1171003.25,1197128.05,1221232.26,1209280.81,1217570.7,1253023.33,1199060.09,1164016.87,1157418.88,1153999.72,1117179.23,1105962.14,1108319.05,1095975.1,1081869.49,1059591.1,1044839.57,1027885.77,990729,956167.98,931956.26,907770.83,881383.05,863044.87,833605.66,809150.41,803489.57,761952.36,721992.12,697586.92,679988.38,657644.27,638865.26,626151.41,608508.21,578306.63,549932.49,533163.98,498601.15,459458.36,427780.49,399514.03,364829.13,328641.45,293540.76,265762.8,233426.57,204624.04,171989.22,149924.95,132128.7,114394.68,95316.3,76716.54,63153.94,50763.9,39996.28,31387.33,23115.03,16958.98,12586.03,8996.44,6140.39,4152.98,2848.31,1934.93,1324.31,864.06,1687.33
"USA",1959,1,5,2090635.51,2083899.01,2067329.61,2014237.54,2000696.01,1969596.73,1909952.3,1875830.03,1811284.23,1761428.06,1769513.12,1782562.94,1846412.33,1425748.59,1428673.28,1418821.4,1447349.65,1306900.32,1186096.88,1097419.72,1067916.37,1047094.49,1012420.91,1033004.1,1032199.07,998315.64,1049097.84,1097894.75,1119174.73,1112354.79,1131831.5,1174427.82,1171003.25,1197128.05,1221232.26,1209280.81,1217570.7,1253023.33,1199060.09,1164016.87,1157418.88,1153999.72,1117179.23,1105962.14,1108319.05,1095975.1,1081869.49,1059591.1,1044839.57,1027885.77,990729,956167.98,931956.26,907770.83,881383.05,863044.87,833605.66,809150.41,803489.57,761952.36,721992.12,697586.92,679988.38,657644.27,638865.26,626151.41,608508.21,578306.63,549932.49,533163.98,498601.15,459458.36,427780.49,399514.03,364829.13,328641.45,293540.76,265762.8,233426.57,204624.04,171989.22,149924.95,132128.7,114394.68,95316.3,76716.54,63153.94,50763.9,39996.28,31387.33,23115.03,16958.98,12586.03,8996.44,6140.39,4152.98,2848.31,1934.93,1324.31,864.06,1687.33
"USA",1959,1,6,2090635.51,2083899.01,2067329.61,2014237.54,2000696.01,1969596.73,1909952.3,1875830.03,1811284.23,1761428.06,1769513.12,1782562.94,1846412.33,1425748.59,1428673.28,1418821.4,1447349.65,1306900.32,1186096.88,1097419.72,1067916.37,1047094.49,1012420.91,1033004.1,1032199.07,998315.64,1049097.84,1097894.75,1119174.73,1112354.79,1131831.5,1174427.82,1171003.25,1197128.05,1221232.26,1209280.81,1217570.7,1253023.33,1199060.09,1164016.87,1157418.88,1153999.72,1117179.23,1105962.14,1108319.05,1095975.1,1081869.49,1059591.1,1044839.57,1027885.77,990729,956167.98,931956.26,907770.83,881383.05,863044.87,833605.66,809150.41,803489.57,761952.36,721992.12,697586.92,679988.38,657644.27,638865.26,626151.41,608508.21,578306.63,549932.49,533163.98,498601.15,459458.36,427780.49,399514.03,364829.13,328641.45,293540.76,265762.8,233426.57,204624.04,171989.22,149924.95,132128.7,114394.68,95316.3,76716.54,63153.94,50763.9,39996.28,31387.33,23115.03,16958.98,12586.03,8996.44,6140.39,4152.98,2848.31,1934.93,1324.31,864.06,1687.33
"USA",1959,2,1,2020724.04,2013748.08,1998016.54,1950290.36,1928920.43,1902948.13,1849341.2,1814006.06,1749620.65,1697910.62,1707304.37,1719879.63,1780746.11,1381397.54,1386118.95,1380574.68,1412203.58,1283118.47,1207324.66,1133309.31,1121186.06,1114179.48,1079827.74,1084777.81,1083914.3,1045194.62,1090270.85,1128378.62,1151156.2,1161240.36,1182935.22,1218576.63,1222067.67,1252146.28,1279075.67,1271803.18,1284441.69,1315125.65,1262930.87,1222969.79,1213909.55,1199270.85,1162401.35,1151021.86,1148625.96,1133802.23,1116222.54,1090829.64,1074709.12,1054420.04,1017743.71,983038.58,957951.98,932134.36,904548.55,887448.66,860966.92,842011.83,839829.96,804775.7,771582.29,754150.07,741965.29,723864.93,708220.99,698786.18,683771.17,654232.86,625331.07,606934.45,570377.69,529314.89,497211.89,469790.69,434355.21,396519.31,359625.34,328411.33,293560.11,262168.39,236999.04,208980.13,187175.54,166475.07,141971.05,117015.85,97628.76,79662.14,64894.22,52542.08,39680.18,29967.12,22906.46,16681.81,11623.17,8129.27,5738.9,4021.92,2832.42,1881.93,3508.04
"USA",1959,2,2,2020724.04,2013748.08,1998016.54,1950290.36,1928920.43,1902948.13,1849341.2,1814006.06,1749620.65,1697910.62,1707304.37,1719879.63,1780746.11,1381397.54,1386118.95,1380574.68,1412203.58,1283118.47,1207324.66,1133309.31,1121186.06,1114179.48,1079827.74,1084777.81,1083914.3,1045194.62,1090270.85,1128378.62,1151156.2,1161240.36,1182935.22,1218576.63,1222067.67,1252146.28,1279075.67,1271803.18,1284441.69,1315125.65,1262930.87,1222969.79,1213909.55,1199270.85,1162401.35,1151021.86,1148625.96,1133802.23,1116222.54,1090829.64,1074709.12,1054420.04,1017743.71,983038.58,957951.98,932134.36,904548.55,887448.66,860966.92,842011.83,839829.96,804775.7,771582.29,754150.07,741965.29,723864.93,708220.99,698786.18,683771.17,654232.86,625331.07,606934.45,570377.69,529314.89,497211.89,469790.69,434355.21,396519.31,359625.34,328411.33,293560.11,262168.39,236999.04,208980.13,187175.54,166475.07,141971.05,117015.85,97628.76,79662.14,64894.22,52542.08,39680.18,29967.12,22906.46,16681.81,11623.17,8129.27,5738.9,4021.92,2832.42,1881.93,3508.04
"USA",1959,2,3,2020724.04,2013748.08,1998016.54,1950290.36,1928920.43,1902948.13,1849341.2,1814006.06,1749620.65,1697910.62,1707304.37,1719879.63,1780746.11,1381397.54,1386118.95,1380574.68,1412203.58,1283118.47,1207324.66,1133309.31,1121186.06,1114179.48,1079827.74,1084777.81,1083914.3,1045194.62,1090270.85,1128378.62,1151156.2,1161240.36,1182935.22,1218576.63,1222067.67,1252146.28,1279075.67,1271803.18,1284441.69,1315125.65,1262930.87,1222969.79,1213909.55,1199270.85,1162401.35,1151021.86,1148625.96,1133802.23,1116222.54,1090829.64,1074709.12,1054420.04,1017743.71,983038.58,957951.98,932134.36,904548.55,887448.66,860966.92,842011.83,839829.96,804775.7,771582.29,754150.07,741965.29,723864.93,708220.99,698786.18,683771.17,654232.86,625331.07,606934.45,570377.69,529314.89,497211.89,469790.69,434355.21,396519.31,359625.34,328411.33,293560.11,262168.39,236999.04,208980.13,187175.54,166475.07,141971.05,117015.85,97628.76,79662.14,64894.22,52542.08,39680.18,29967.12,22906.46,16681.81,11623.17,8129.27,5738.9,4021.92,2832.42,1881.93,3508.04
"USA",1959,2,4,2020724.04,2013748.08,1998016.54,1950290.36,1928920.43,1902948.13,1849341.2,1814006.06,1749620.65,1697910.62,1707304.37,1719879.63,1780746.11,1381397.54,1386118.95,1380574.68,1412203.58,1283118.47,1207324.66,1133309.31,1121186.06,1114179.48,1079827.74,1084777.81,1083914.3,1045194.62,1090270.85,1128378.62,1151156.2,1161240.36,1182935.22,1218576.63,1222067.67,1252146.28,1279075.67,1271803.18,1284441.69,1315125.65,1262930.87,1222969.79,1213909.55,1199270.85,1162401.35,1151021.86,1148625.96,1133802.23,1116222.54,1090829.64,1074709.12,1054420.04,1017743.71,983038.58,957951.98,932134.36,904548.55,887448.66,860966.92,842011.83,839829.96,804775.7,771582.29,754150.07,741965.29,723864.93,708220.99,698786.18,683771.17,654232.86,625331.07,606934.45,570377.69,529314.89,497211.89,469790.69,434355.21,396519.31,359625.34,328411.33,293560.11,262168.39,236999.04,208980.13,187175.54,166475.07,141971.05,117015.85,97628.76,79662.14,64894.22,52542.08,39680.18,29967.12,22906.46,16681.81,11623.17,8129.27,5738.9,4021.92,2832.42,1881.93,3508.04
"USA",1959,2,5,2020724.04,2013748.08,1998016.54,1950290.36,1928920.43,1902948.13,1849341.2,1814006.06,1749620.65,1697910.62,1707304.37,1719879.63,1780746.11,1381397.54,1386118.95,1380574.68,1412203.58,1283118.47,1207324.66,1133309.31,1121186.06,1114179.48,1079827.74,1084777.81,1083914.3,1045194.62,1090270.85,1128378.62,1151156.2,1161240.36,1182935.22,1218576.63,1222067.67,1252146.28,1279075.67,1271803.18,1284441.69,1315125.65,1262930.87,1222969.79,1213909.55,1199270.85,1162401.35,1151021.86,1148625.96,1133802.23,1116222.54,1090829.64,1074709.12,1054420.04,1017743.71,983038.58,957951.98,932134.36,904548.55,887448.66,860966.92,842011.83,839829.96,804775.7,771582.29,754150.07,741965.29,723864.93,708220.99,698786.18,683771.17,654232.86,625331.07,606934.45,570377.69,529314.89,497211.89,469790.69,434355.21,396519.31,359625.34,328411.33,293560.11,262168.39,236999.04,208980.13,187175.54,166475.07,141971.05,117015.85,97628.76,79662.14,64894.22,52542.08,39680.18,29967.12,22906.46,16681.81,11623.17,8129.27,5738.9,4021.92,2832.42,1881.93,3508.04
"USA",1959,2,6,2020724.04,2013748.08,1998016.54,1950290.36,1928920.43,1902948.13,1849341.2,1814006.06,1749620.65,1697910.62,1707304.37,1719879.63,1780746.11,1381397.54,1386118.95,1380574.68,1412203.58,1283118.47,1207324.66,1133309.31,1121186.06,1114179.48,1079827.74,1084777.81,1083914.3,1045194.62,1090270.85,1128378.62,1151156.2,1161240.36,1182935.22,1218576.63,1222067.67,1252146.28,1279075.67,1271803.18,1284441.69,1315125.65,1262930.87,1222969.79,1213909.55,1199270.85,1162401.35,1151021.86,1148625.96,1133802.23,1116222.54,1090829.64,1074709.12,1054420.04,1017743.71,983038.58,957951.98,932134.36,904548.55,887448.66,860966.92,842011.83,839829.96,804775.7,771582.29,754150.07,741965.29,723864.93,708220.99,698786.18,683771.17,654232.86,625331.07,606934.45,570377.69,529314.89,497211.89,469790.69,434355.21,396519.31,359625.34,328411.33,293560.11,262168.39,236999.04,208980.13,187175.54,166475.07,141971.05,117015.85,97628.76,79662.14,64894.22,52542.08,39680.18,29967.12,22906.46,16681.81,11623.17,8129.27,5738.9,4021.92,2832.42,1881.93,3508.04
"USA",1959,3,1,4111359.55,4097647.09,4065346.15,3964527.9,3929616.44,3872544.87,3759293.5,3689836.09,3560904.88,3459338.68,3476817.49,3502442.57,3627158.44,2807146.13,2814792.22,2799396.08,2859553.23,2590018.79,2393421.54,2230729.02,2189102.43,2161273.97,2092248.65,2117781.91,2116113.37,2043510.26,2139368.69,2226273.37,2270330.93,2273595.15,2314766.72,2393004.45,2393070.91,2449274.32,2500307.93,2481083.99,2502012.39,2568148.98,2461990.96,2386986.66,2371328.43,2353270.56,2279580.58,2256984,2256945.01,2229777.33,2198092.03,2150420.74,2119548.68,2082305.81,2008472.71,1939206.56,1889908.24,1839905.19,1785931.6,1750493.53,1694572.58,1651162.24,1643319.53,1566728.06,1493574.41,1451737,1421953.67,1381509.2,1347086.26,1324937.6,1292279.38,1232539.49,1175263.56,1140098.43,1068978.84,988773.25,924992.38,869304.71,799184.34,725160.76,653166.1,594174.13,526986.68,466792.44,408988.26,358905.08,319304.25,280869.76,237287.35,193732.39,160782.7,130426.05,104890.51,83929.41,62795.21,46926.09,35492.49,25678.25,17763.56,12282.26,8587.21,5956.85,4156.73,2745.99,5195.39
"USA",1959,3,2,4111359.55,4097647.09,4065346.15,3964527.9,3929616.44,3872544.87,3759293.5,3689836.09,3560904.88,3459338.68,3476817.49,3502442.57,3627158.44,2807146.13,2814792.22,2799396.08,2859553.23,2590018.79,2393421.54,2230729.02,2189102.43,2161273.97,2092248.65,2117781.91,2116113.37,2043510.26,2139368.69,2226273.37,2270330.93,2273595.15,2314766.72,2393004.45,2393070.91,2449274.32,2500307.93,2481083.99,2502012.39,2568148.98,2461990.96,2386986.66,2371328.43,2353270.56,2279580.58,2256984,2256945.01,2229777.33,2198092.03,2150420.74,2119548.68,2082305.81,2008472.71,1939206.56,1889908.24,1839905.19,1785931.6,1750493.53,1694572.58,1651162.24,1643319.53,1566728.06,1493574.41,1451737,1421953.67,1381509.2,1347086.26,1324937.6,1292279.38,1232539.49,1175263.56,1140098.43,1068978.84,988773.25,924992.38,869304.71,799184.34,725160.76,653166.1,594174.13,526986.68,466792.44,408988.26,358905.08,319304.25,280869.76,237287.35,193732.39,160782.7,130426.05,104890.51,83929.41,62795.21,46926.09,35492.49,25678.25,17763.56,12282.26,8587.21,5956.85,4156.73,2745.99,5195.39
"USA",1959,3,3,4111359.55,4097647.09,4065346.15,3964527.9,3929616.44,3872544.87,3759293.5,3689836.09,3560904.88,3459338.68,3476817.49,3502442.57,3627158.44,2807146.13,2814792.22,2799396.08,2859553.23,2590018.79,2393421.54,2230729.02,2189102.43,2161273.97,2092248.65,2117781.91,2116113.37,2043510.26,2139368.69,2226273.37,2270330.93,2273595.15,2314766.72,2393004.45,2393070.91,2449274.32,2500307.93,2481083.99,2502012.39,2568148.98,2461990.96,2386986.66,2371328.43,2353270.56,2279580.58,2256984,2256945.01,2229777.33,2198092.03,2150420.74,2119548.68,2082305.81,2008472.71,1939206.56,1889908.24,1839905.19,1785931.6,1750493.53,1694572.58,1651162.24,1643319.53,1566728.06,1493574.41,1451737,1421953.67,1381509.2,1347086.26,1324937.6,1292279.38,1232539.49,1175263.56,1140098.43,1068978.84,988773.25,924992.38,869304.71,799184.34,725160.76,653166.1,594174.13,526986.68,466792.44,408988.26,358905.08,319304.25,280869.76,237287.35,193732.39,160782.7,130426.05,104890.51,83929.41,62795.21,46926.09,35492.49,25678.25,17763.56,12282.26,8587.21,5956.85,4156.73,2745.99,5195.39
"USA",1959,3,4,4111359.55,4097647.09,4065346.15,3964527.9,3929616.44,3872544.87,3759293.5,3689836.09,3560904.88,3459338.68,3476817.49,3502442.57,3627158.44,2807146.13,2814792.22,2799396.08,2859553.23,2590018.79,2393421.54,2230729.02,2189102.43,2161273.97,2092248.65,2117781.91,2116113.37,2043510.26,2139368.69,2226273.37,2270330.93,2273595.15,2314766.72,2393004.45,2393070.91,2449274.32,2500307.93,2481083.99,2502012.39,2568148.98,2461990.96,2386986.66,2371328.43,2353270.56,2279580.58,2256984,2256945.01,2229777.33,2198092.03,2150420.74,2119548.68,2082305.81,2008472.71,1939206.56,1889908.24,1839905.19,1785931.6,1750493.53,1694572.58,1651162.24,1643319.53,1566728.06,1493574.41,1451737,1421953.67,1381509.2,1347086.26,1324937.6,1292279.38,1232539.49,1175263.56,1140098.43,1068978.84,988773.25,924992.38,869304.71,799184.34,725160.76,653166.1,594174.13,526986.68,466792.44,408988.26,358905.08,319304.25,280869.76,237287.35,193732.39,160782.7,130426.05,104890.51,83929.41,62795.21,46926.09,35492.49,25678.25,17763.56,12282.26,8587.21,5956.85,4156.73,2745.99,5195.39
"USA",1959,3,5,4111359.55,4097647.09,4065346.15,3964527.9,3929616.44,3872544.87,3759293.5,3689836.09,3560904.88,3459338.68,3476817.49,3502442.57,3627158.44,2807146.13,2814792.22,2799396.08,2859553.23,2590018.79,2393421.54,2230729.02,2189102.43,2161273.97,2092248.65,2117781.91,2116113.37,2043510.26,2139368.69,2226273.37,2270330.93,2273595.15,2314766.72,2393004.45,2393070.91,2449274.32,2500307.93,2481083.99,2502012.39,2568148.98,2461990.96,2386986.66,2371328.43,2353270.56,2279580.58,2256984,2256945.01,2229777.33,2198092.03,2150420.74,2119548.68,2082305.81,2008472.71,1939206.56,1889908.24,1839905.19,1785931.6,1750493.53,1694572.58,1651162.24,1643319.53,1566728.06,1493574.41,1451737,1421953.67,1381509.2,1347086.26,1324937.6,1292279.38,1232539.49,1175263.56,1140098.43,1068978.84,988773.25,924992.38,869304.71,799184.34,725160.76,653166.1,594174.13,526986.68,466792.44,408988.26,358905.08,319304.25,280869.76,237287.35,193732.39,160782.7,130426.05,104890.51,83929.41,62795.21,46926.09,35492.49,25678.25,17763.56,12282.26,8587.21,5956.85,4156.73,2745.99,5195.39
