"country","year","sex","cause","m0","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m50","m51","m52","m53","m54","m55","m56","m57","m58","m59","m60","m61","m62","m63","m64","m65","m66","m67","m68","m69","m70","m71","m72","m73","m74","m75","m76","m77","m78","m79","m80","m81","m82","m83","m84","m85","m86","m87","m88","m89","m90","m91","m92","m93","m94","m95","m96","m97","m98","m99","m100"
"USA",1959,1,1,-9.35343279546504,-9.64884629815533,-9.97950244808427,-10.241234285747,-10.7023431932142,-10.9098204357193,-10.9968529230892,-11.2679396725823,-10.9438107681895,-11.5205612106828,-10.7752970806198,-10.5017424424945,-10.8332724692735,-10.7245178486281,-10.4345871770782,-10.3917258560253,-10.4176241677655,-9.04945292589333,-10.2068155878488,-9.56466685133855,-9.29625251152224,-9.05303704733887,-9.40901435353496,-9.20359081797479,-8.97966765325259,-8.91598497788416,-8.96560135285891,-8.66715802529548,-8.66541193454603,-8.40856101249561,-8.24225418857026,-8.05739777098077,-7.83997337498499,-7.73013474185367,-7.60355268842342,-7.43745845755112,-7.27658818782576,-7.0892976886196,-6.87176545800711,-6.72315988469229,-6.57337512083612,-6.5477926078322,-6.28044169657487,-6.15661207831687,-6.01734800411048,-5.8709050851218,-5.79860241051163,-5.62512618950188,-5.52370259527146,-5.37606262516658,-5.27905279249505,-5.26071516297843,-5.11208939411433,-4.94103764006466,-4.85578487971595,-4.79195670180679,-4.70859333860798,-4.65945077999877,-4.46813161326213,-4.36241883962698,-4.38270588229196,-4.26442874322513,-4.12200099551755,-4.02379016599789,-3.94871314946407,-3.83468276868139,-3.79991172950472,-3.69398775200692,-3.56948394058979,-3.57338221640196,-3.44624237024206,-3.40895027749862,-3.30189681710376,-3.24869943384568,-3.11466480881595,-3.02212864785816,-2.96381797311064,-2.91683537278567,-2.77116132651386,-2.6634354636106,-2.56094677828036,-2.50509881447127,-2.39388225628356,-2.29409531242272,-2.195309635968,-2.12200139412907,-2.02319394581139,-1.9465978819189,-1.86182072482649,-1.77117865532808,-1.69238829327254,-1.67580486494153,-1.58131576793333,-1.48879315047423,-1.45791335910945,-1.45325495953202,-1.39912422311226,-1.27625728954061,-1.2617208220931,-1.28517865890584,-1.4294877989701
"USA",1959,1,2,-9.39259874863659,-9.2564463962638,-9.01233920142945,-8.87739662036128,-8.88860481726737,-9.01687582224386,-9.39145031061929,-9.42068128125197,-9.3036011970886,-9.26364162331967,-9.46623406743592,-9.37628290379021,-9.61657067776082,-9.25755267432906,-9.42732466699832,-9.52094618579536,-9.17460932019909,-9.11335542386333,-9.17399418617188,-9.0881907075872,-9.10209649708129,-8.9270558009784,-9.05717033686589,-8.98044726666058,-8.86359548199984,-9.00980373310182,-8.74544734039307,-8.83373122512129,-8.78643856694826,-8.68024274360095,-8.50562567152142,-8.52525317168821,-8.54587036816598,-8.32211268741988,-8.30618247019076,-8.12780058718346,-8.06694759346152,-7.99843701933613,-7.84858025360017,-7.72516413484048,-7.5849760325146,-7.60611508709627,-7.27345449240634,-7.2081421451607,-7.05559714305149,-7.01248498782043,-6.84581470316794,-6.68724933242645,-6.53422495210874,-6.48482084741303,-6.33540254056939,-6.22477073668586,-6.04067999332563,-5.95828020664649,-5.89772478128515,-5.7212615467854,-5.71853273393705,-5.65182871779528,-5.50969401269836,-5.38712908694934,-5.41131357132407,-5.30780466519935,-5.18156354132409,-5.02772625792,-5.00784557956408,-4.91964146493153,-4.89105965859792,-4.8498238888353,-4.80749748836193,-4.74670422230263,-4.66594754675365,-4.65299959306173,-4.58522112221443,-4.55326140805289,-4.49259709464842,-4.4484538477451,-4.38049027139634,-4.38716770832763,-4.3064179341942,-4.28621208257978,-4.18463923490515,-4.19964916257726,-4.11181808659836,-4.1094471935818,-4.05158877814635,-4.02457692991649,-4.04572990301276,-3.86046184000314,-4.00349719462887,-3.8926914109286,-4.01755307401875,-4.03477029137169,-4.03766536581259,-4.05472821526053,-3.76902891765092,-4.22070756365004,-4.04245810949478,-4.13383922461378,-4.05315263213436,-4.81573206178203,-4.71155102203906
"USA",1959,1,3,-5.71193107192481,-7.68073677032258,-8.40837024594423,-9.07767198077183,-9.44641064995756,-9.77484050288027,-10.3200133074135,-10.0751139496312,-10.4022134857567,-10.6204353200429,-10.4349712746826,-10.5434151388951,-10.4969294004089,-10.8511864567447,-11.0482885704427,-10.1048940743903,-10.8454540152588,-9.9400339970478,-10.252045777874,-10.124282639274,-10.0100189792849,-10.1238601158257,-9.82109841624718,-10.1344096504119,-10.0185607072191,-9.13968541559821,-9.7859037089041,-9.79803117618181,-9.51218763934976,-9.77885503226906,-9.67666779803435,-9.60684377278689,-9.25507008382172,-9.31330472746716,-9.29687208483822,-9.36114546982172,-9.61531298045661,-9.03712354707306,-9.04828865913965,-8.80260142637213,-8.75769629333643,-8.67554075467785,-8.94699179449991,-8.47577654429439,-8.49782005683061,-8.45611657368821,-8.21744730962154,-8.23148656601066,-7.99574273446621,-7.91875880273153,-7.67774727737361,-7.71390487466656,-7.53645113513932,-7.38724538596621,-7.15787128904253,-7.28302756276376,-6.98037755195989,-7.10395305899362,-6.72930524124571,-6.77975440446687,-6.76473586152114,-6.67773580776601,-6.55873969416044,-6.38520545366742,-6.1479428042238,-6.23910335011469,-6.22702356841747,-5.94401445748083,-5.94618139751882,-6.00803882685249,-5.88394261546027,-5.90450764153616,-5.81253166758855,-5.72404584271364,-5.7914608597927,-5.73989378713416,-5.66684969804821,-5.46482114597489,-5.37036633076473,-5.35514612899853,-5.31168843497288,-5.21109020336861,-5.2085413725837,-5.04121101579735,-4.95132353379547,-4.90291038854624,-4.76649535418991,-4.65003216887812,-4.64931057659064,-4.46756830445463,-4.38114737025118,-4.38494137952168,-4.27739295956297,-4.0256476374296,-3.63504720180694,-3.64945020069913,-3.57245448024904,-3.33371992450167,-3.54038302251421,-4.10981866665432,-3.66358792359924
"USA",1959,1,4,-7.64522337050874,-9.57810626722006,-10.5527842423766,-10.6037282842669,-10.7713360647012,-10.9669788495592,-10.9362283012728,-10.8610428636421,-10.975559466504,-10.8851278742699,-10.8308669317746,-11.0262669106187,-11.096550522958,-11.2798358021689,-12.3000774342471,-10.9464612600685,-10.889407748291,-10.8642928985711,-11.0417395623779,-11.269414943577,-10.8854877166388,-10.1843565587813,-10.4956504511564,-10.712487501187,-10.413214899223,-10.2029068651908,-10.1022410371163,-9.8484620298087,-9.99627649072659,-9.67349451661124,-9.06500089811634,-9.46543211873706,-9.27289105218922,-9.03960889699012,-9.17118386967473,-8.81815056312234,-8.73936864350434,-8.74776502829402,-8.52477787584634,-8.3290327309619,-8.05537520136046,-8.21254129287568,-7.9449033105052,-7.84780064076966,-7.76562236139879,-7.68457875918255,-7.61755762254818,-7.57628431701484,-7.4557997121295,-7.28590446364666,-7.1520554809667,-7.05902128494052,-7.22442003367725,-7.18932839759768,-7.08394967948768,-6.9510172168954,-6.94391647060648,-7.00250998092059,-6.90587720594749,-6.61455592812218,-6.86570427588809,-6.8366434178839,-6.66594608020855,-6.63138046423725,-6.6412154480468,-6.55164171467271,-6.49113644900977,-6.39676821410778,-6.07130100825371,-6.36329818826051,-6.3006376912515,-6.26129660406004,-6.34984236830775,-6.2209207012233,-6.12632970717778,-6.04086787728997,-5.99126275563229,-5.91129767627518,-5.94062790311146,-5.73941311121529,-5.73802239266558,-5.73580520781994,-5.70475699965243,-5.64105669374828,-5.59848805690829,-5.34936832565494,-5.30744169761807,-5.25206816558115,-5.33904635674352,-5.15500812911306,-4.99961129231502,-4.94733391558136,-5.25068800565844,-5.25443662080001,-4.69597562752181,-4.61915557081675,-4.11372217074021,-4.85977622799672,-5.2427366990082,-4.54941202424587,-5.12831758393721
"USA",1959,1,5,-6.8459159941204,-7.65204627785965,-7.89407991537754,-8.08764601701043,-8.19727087383161,-8.28073327842385,-8.25399879979234,-8.36006238902308,-8.36454135695317,-8.31089770773394,-8.32242978457644,-8.28876950819014,-8.33903775564031,-7.98194343698252,-7.72336740121471,-7.39225670928119,-7.14997601501425,-6.94987276854326,-6.7577900899707,-6.68809843646828,-6.59365934988309,-6.49698271985345,-6.53279854486893,-6.67863170044556,-6.76970405013895,-6.72458162280756,-6.81505474408794,-6.74391187399945,-6.89283352416982,-6.74438207106369,-6.69482285482998,-6.7696651583909,-6.94339850627525,-7.01908788414363,-6.92863302162274,-6.94591874067171,-6.96572092421933,-6.98834880378619,-6.90115532842029,-6.79535478982478,-6.72024616769825,-6.9493355507072,-6.90970783786546,-6.86957895116501,-6.83917066149323,-6.63537309770809,-6.68637593554378,-6.79336713702619,-6.79632574667614,-6.73640846241876,-6.77268983047676,-6.70081475943662,-6.69665475251406,-6.66775778879186,-6.67893573312865,-6.70219777465537,-6.68461851747213,-6.7040169923646,-6.48912183354135,-6.57009629350917,-6.63120446889661,-6.63427492914466,-6.55977757697286,-6.51398197001994,-6.46571164374898,-6.48878245505486,-6.55488077495018,-6.3434222423817,-6.23191783866964,-6.2849248351204,-6.34877233261804,-6.3632422046178,-6.37469173715873,-6.20840489329147,-6.19245878576424,-6.09607243163707,-6.04585993868201,-5.94214035785104,-5.89137251446283,-5.77688066871635,-5.7994370376595,-5.73580520781994,-5.56895545849337,-5.48199199911859,-5.40583291825979,-5.26142060419437,-5.10529552778397,-5.0298057821117,-5.03202132144861,-4.86936265379166,-5.13169772793024,-4.81857184019976,-4.59615566122627,-4.92629042755862,-4.69729184630417,-4.54739179390509,-4.17029148100466,-4.69743285153067,-4.70374019827551,-4.4590571178433,-4.65831395469147
"USA",1959,1,6,-3.70377749440742,-7.23253881262845,-7.83858017570001,-8.2523530271034,-8.49529052694172,-8.50187482706738,-8.94856243011133,-9.06103707835801,-8.94996115684502,-9.12414006370865,-9.05349619999868,-9.1257045815418,-9.03968330331674,-8.99405782749128,-8.84438062657199,-8.86203217687765,-8.70460569095336,-8.63213026987363,-8.58350115967202,-8.6561988451456,-8.59295295949828,-8.60925630606247,-8.66306898740805,-8.52010554832658,-8.47656407558051,-8.35850366247737,-8.37864421931917,-8.34438463303243,-8.39076785643238,-8.34604065551428,-8.19314448453551,-8.20174007970951,-8.15626025801843,-8.00898394930694,-8.05179161251487,-7.92789412561406,-7.89427100402674,-7.93182227025415,-7.87236515862361,-7.7998709094073,-7.70979909724734,-7.71846863824507,-7.53272676780905,-7.49135720510838,-7.40958591913121,-7.31411049311148,-7.30802945703515,-7.22830266744313,-6.9812512083294,-6.94579109100691,-6.72882683906745,-6.96829412457088,-6.84733621810731,-6.80699993560823,-6.68618214164942,-6.61377230362854,-6.60620122574567,-6.60249447757999,-6.26707236634438,-6.3254624746259,-6.38974233705872,-6.26470636706892,-6.19565380902114,-6.11228463482259,-6.0111689738548,-5.8914708023544,-5.89698988986797,-5.7656730221154,-5.61034305504129,-5.70615600454199,-5.59824377632778,-5.54504329550985,-5.52974820393316,-5.3991344284935,-5.30554992808459,-5.19229206145728,-5.16620333998763,-5.14177192968582,-4.95823967029794,-4.81362420107963,-4.88429860090036,-4.80805620045864,-4.59697988756097,-4.63709798604278,-4.50936350544529,-4.33913210551625,-4.24764373218404,-4.20378652524236,-4.25090536794271,-4.11778999707861,-4.12934448000687,-3.81588700825176,-3.96807207401339,-3.57601967689649,-3.46122785134464,-3.67855921268624,-3.61067569306924,-3.09665460039498,-3.21835493451139,-3.46580534483302,-2.91773797457451
"USA",1959,2,1,-9.56586733883564,-10.1334816253539,-10.217085596702,-10.9281407605297,-11.0712736600229,-11.2400390640759,-10.8749919640354,-10.8557001888458,-11.1968557206249,-10.7073228463435,-11.0545894268487,-10.8612573023161,-10.6313428816718,-10.6122457302172,-10.6256875982102,-10.4244383385268,-9.97100712308644,-9.87514923557811,-10.0049044451136,-9.70654599903754,-9.70350139697524,-9.56691997290838,-9.25758309814929,-9.20553785834643,-9.03627699445414,-9.0805901721636,-9.02673938637512,-8.93234600480317,-9.12917899590877,-8.68688460844586,-8.58988183602176,-8.44484953510659,-8.41005733055734,-8.11611386346343,-8.11361325303916,-8.14514963416494,-7.89622396691486,-7.86093176676888,-7.66206634571347,-7.55064798857305,-7.31108868794441,-7.36918292889981,-7.15255395311687,-7.05643757241951,-6.94106117894512,-6.84851363173291,-6.7280254565497,-6.62520137567019,-6.44917706683807,-6.24579469437616,-6.18292998520145,-6.14871102185008,-5.97772977825634,-5.90177584199124,-5.7792461550874,-5.71710957991702,-5.6247203585218,-5.53582928109647,-5.27854574414127,-5.14406549239243,-5.10664206474298,-5.04393584861234,-4.84851779816884,-4.73725297155585,-4.65885920859388,-4.47818747921204,-4.5813517549422,-4.30996240354801,-4.04783183035701,-4.09222869871256,-3.92815532180361,-3.9052727260881,-3.7315539303698,-3.64561911351556,-3.50117409239742,-3.3344953182403,-3.2702249479205,-3.20830898373443,-3.02294239265504,-2.88168387927777,-2.79791546246503,-2.75786433593388,-2.60231865878652,-2.47535975924683,-2.38064731669998,-2.27017890083066,-2.18527885201519,-2.08303992768654,-2.00473396005316,-1.89373946705006,-1.79864244654658,-1.71760653154653,-1.63716746422347,-1.56728661044654,-1.48222160256863,-1.47974509503901,-1.43026942755014,-1.37097686136842,-1.30509701575457,-1.28814924181374,-1.3851661623005
"USA",1959,2,2,-9.44090165725276,-9.60930381746293,-9.18954552259043,-9.01965701699354,-9.11117887597567,-9.15560998088504,-9.39990210413241,-9.7105678845428,-9.93225829448249,-9.87900088741528,-9.89607899659957,-9.77279738511203,-9.66515517865304,-9.6499698851012,-9.66468146308206,-9.50328141700146,-9.76621271044042,-9.68277734293066,-9.68642933131896,-9.69215726158544,-9.46398954643351,-9.50478819180137,-9.40367571664678,-9.16280878731534,-9.15115727045256,-8.99990126091345,-8.97468302441906,-8.98046525314737,-8.76148977226054,-8.53127726412214,-8.54978737881988,-8.18719393148723,-8.10525814957201,-7.99773682719558,-7.90679014820339,-7.7699481836966,-7.64096567550093,-7.58216505797505,-7.38837051523643,-7.22220613193416,-7.22716468605303,-7.07359567694092,-6.99339230132601,-6.89311251631621,-6.78703909167253,-6.68408464061552,-6.58852389693867,-6.48127157370628,-6.37932182220372,-6.36136036889196,-6.3478289518137,-6.18854144464804,-6.07452376016292,-6.0485651648409,-5.92739438025993,-5.96286030424134,-5.87801448404927,-5.88521587551609,-5.6709054167805,-5.65382672010263,-5.75262705490018,-5.6750924768301,-5.5157027162529,-5.41398198956323,-5.40744854541413,-5.29600565845653,-5.27873099488823,-5.25206994322859,-5.13392123927848,-5.17615212163204,-5.1053192254769,-5.15906831612558,-5.05056398424444,-4.97794925588883,-4.9185550232243,-4.8685672410204,-4.8317965803993,-4.79842586695999,-4.74755892225203,-4.66395946763975,-4.66068776584405,-4.65159512533304,-4.56678491604285,-4.53598753432234,-4.47443234494055,-4.44095079689682,-4.41481058492766,-4.33237892370816,-4.39840524118384,-4.36807998080018,-4.22683559828183,-4.46141728453936,-4.38318243501073,-4.17801410075231,-4.28436229136394,-4.4599316253425,-4.2242060344748,-4.24300054614828,-4.05706645079162,-4.49553068725621,-5.09149573233297
"USA",1959,2,3,-5.82810767021595,-7.83465358123759,-8.68758258608229,-9.12690254734713,-10.2049353056085,-9.79547579483205,-10.0358908708524,-10.1625530082859,-10.2317748245813,-10.473707995162,-11.1879768618304,-10.5076172620725,-10.2181557274697,-10.5832581933439,-10.6156577529441,-10.4003407869477,-10.5771429266568,-10.2581414878342,-10.3150379907413,-10.2517730495209,-10.346378726632,-9.86318578905155,-10.0856495966086,-10.765992449803,-9.80174483659371,-9.6700589232487,-10.0732953130872,-9.85875486684291,-9.86193282435434,-9.88746182377066,-9.85637499732903,-9.91884947664558,-9.6216056389401,-9.835677041487,-9.6073009459663,-9.33744740691037,-9.30366076460856,-9.54614798809006,-9.22063192777381,-9.18051080585919,-9.16516965560123,-8.95418264127105,-8.77198952941327,-9.05088590126595,-8.89783116323644,-9.15464633523988,-8.88203569372704,-8.95934924141506,-8.43173374811794,-8.64275477490637,-8.48962776555792,-8.71080731032921,-8.20134338331033,-8.39812471564989,-8.47344424338146,-8.12437775869178,-7.91074903489227,-8.56896657046449,-7.68006106024463,-7.8110673463004,-7.74637787238849,-8.05688310708461,-7.84717681909909,-7.45347820393291,-7.39600147798823,-7.52220588466673,-7.50048439822821,-7.33443460888403,-6.73574671996915,-7.00355111816772,-6.99447257034914,-7.03515315481918,-6.618823250064,-6.69185534771672,-6.70824686246223,-6.6689664430926,-6.43279687779957,-6.40160383097133,-5.96047444793193,-6.01622626301624,-5.98825277298653,-5.89660854707419,-5.72702048994124,-5.58940819282133,-5.43623438341644,-5.40719444290331,-5.20748760162056,-5.14305760377357,-4.96310312634483,-4.90268636203077,-4.71552245356879,-4.73195027333642,-4.73616336261758,-4.52082132800411,-4.35454074837138,-4.19597829997768,-3.8029925693985,-3.85443178634595,-3.97961454555423,-3.56976121142751,-3.68111337384195
"USA",1959,2,4,-7.97361678046382,-9.36859218084009,-10.1769321761483,-10.6992991881009,-10.7588989749808,-11.1630780229398,-10.5385197274142,-10.9770610458501,-11.4304705718064,-10.8185484814537,-10.6511595573392,-11.5245515197264,-10.9913456157032,-10.4386657859029,-11.3694295553205,-11.1422781316771,-11.0251676491837,-10.9737615242462,-10.6717129346801,-11.3779073323884,-10.1457080311698,-10.6655322615765,-10.5250162563925,-10.6387892025541,-10.3125704603597,-10.3939777624754,-10.0517891078662,-10.1986226924653,-10.3453594739322,-9.85412540350306,-9.70684326335807,-9.83880676897205,-9.50519528709569,-9.19618257441937,-9.44652772537855,-9.31974782981097,-8.99365787479788,-9.05249016794643,-8.91314722802585,-8.68891654402108,-8.69123674821561,-8.52495363140787,-8.44054561349598,-8.39547904868886,-8.35936558898291,-8.20129443552836,-8.23172867184359,-8.14670688871476,-7.9986826385495,-7.9658681152182,-7.99245702867305,-7.94907886561473,-7.91461977595227,-7.93708975638691,-7.81529390485861,-7.83247477517303,-7.81073944002801,-7.82346641265464,-7.60786849995784,-7.6143826033476,-7.67009457599325,-7.62798481096155,-7.37287210795396,-7.41242689809416,-7.35682927690869,-7.08698795696175,-7.07606947893018,-6.97567540443965,-6.99280947339072,-7.0301779795861,-6.9680559399052,-6.7418316770276,-6.85337328965908,-6.52302413944044,-6.37544688452366,-6.32780176683978,-6.33110362262084,-6.46174631140352,-6.0277033981609,-6.00167367764552,-5.84476253394144,-5.89742583412886,-5.92930018411628,-5.64627941848497,-5.63271918597271,-5.80076776155635,-5.54022606804045,-5.69023788167058,-5.22145757575715,-5.38702450692797,-5.21150767478863,-5.44775519555725,-5.28720597009744,-5.37826876136137,-5.06052000507541,-5.0019452855396,-4.87298466619683,-4.97526856171422,-5.17629802666246,-4.80452108314931,-5.12781827215432
