,cause,sex,type,res_mortality
0,0,0,test,2.4497860193795912e-05
1,0,0,train,7.354133532096824e-06
2,0,1,test,4.052596607303205e-05
3,0,1,train,3.2548149237662702e-06
4,1,0,test,1.700719566809911e-05
5,1,0,train,7.013805045229086e-07
6,1,1,test,2.075202106409992e-06
7,1,1,train,1.3347387282456691e-07
8,2,0,test,3.519010584968197e-05
9,2,0,train,1.7215140934149239e-06
10,2,1,test,9.453297335735227e-06
11,2,1,train,7.078939931451119e-07
12,3,0,test,3.92274229792329e-07
13,3,0,train,1.981319032411041e-07
14,3,1,test,3.0686110173874006e-07
15,3,1,train,7.311319645390866e-08
16,4,0,test,4.4727613585390644e-07
17,4,0,train,2.682053466982949e-07
18,4,1,test,5.344932520365148e-07
19,4,1,train,1.587061303274103e-07
20,5,0,test,8.056005611070792e-05
21,5,0,train,2.7293265866631827e-06
22,5,1,test,1.3660430301669826e-05
23,5,1,train,6.541697864687711e-07
