,cause,sex,type,res_mortality
0,0,0,test,3.7011413941449926e-05
1,0,0,train,8.371332271273948e-06
2,0,1,test,7.752838429978457e-05
3,0,1,train,5.397800640165891e-06
4,1,0,test,4.2643195740796264e-05
5,1,0,train,6.630134596119259e-07
6,1,1,test,2.8930092256717793e-06
7,1,1,train,1.9121253940619952e-07
8,2,0,test,2.821215286125102e-05
9,2,0,train,2.6329618475071976e-06
10,2,1,test,2.1528417044072683e-06
11,2,1,train,1.1914061422490387e-06
12,3,0,test,5.95007798361597e-07
13,3,0,train,2.5618388802123324e-07
14,3,1,test,3.7846053132615854e-07
15,3,1,train,9.181899248426378e-08
16,4,0,test,6.463563663611749e-07
17,4,0,train,2.980122966027267e-07
18,4,1,test,7.324085886580074e-07
19,4,1,train,1.353869032787265e-07
20,5,0,test,0.00022209847567933452
21,5,0,train,5.308662478155413e-06
22,5,1,test,2.2167544839783634e-05
23,5,1,train,1.364127413624427e-06
