,cause,sex,type,res_mortality
0,0,0,test,2.392139134230375e-06
1,0,0,train,1.5016738016404805e-07
2,0,1,test,1.1568692426992982e-06
3,0,1,train,6.690672121170924e-08
4,1,0,test,8.185248935524209e-07
5,1,0,train,2.23090892005489e-08
6,1,1,test,5.6630586504070054e-08
7,1,1,train,7.318417046413342e-09
8,2,0,test,2.1988947547749528e-07
9,2,0,train,1.495882567139778e-08
10,2,1,test,4.371923531843348e-06
11,2,1,train,3.797608882849694e-09
12,3,0,test,8.089187904388395e-08
13,3,0,train,5.23470399923004e-09
14,3,1,test,5.000462787391658e-08
15,3,1,train,2.7188379789523983e-09
16,4,0,test,5.9382198933677144e-08
17,4,0,train,5.3972323601847e-09
18,4,1,test,9.470637115469276e-09
19,4,1,train,1.4577950942512862e-09
20,5,0,test,3.30506715379724e-06
21,5,0,train,1.3921008666976082e-07
22,5,1,test,5.63239005832152e-06
23,5,1,train,6.741918453795838e-09
