CMDLINE 32069
MEM 610.843750 1731076025.4925
MEM 610.843750 1731076025.5930
MEM 610.843750 1731076025.6938
MEM 610.843750 1731076025.7946
MEM 610.843750 1731076025.8953
MEM 610.843750 1731076025.9959
MEM 610.843750 1731076026.0963
MEM 610.843750 1731076026.1971
MEM 610.843750 1731076026.2977
MEM 610.843750 1731076026.3984
MEM 610.843750 1731076026.4991
MEM 610.843750 1731076026.5997
MEM 610.843750 1731076026.7003
MEM 610.843750 1731076026.8009
MEM 610.843750 1731076026.9016
MEM 610.843750 1731076027.0025
MEM 610.843750 1731076027.1033
MEM 610.843750 1731076027.2042
MEM 610.843750 1731076027.3051
MEM 610.843750 1731076027.4055
MEM 610.843750 1731076027.5061
MEM 610.843750 1731076027.6066
MEM 610.843750 1731076027.7071
MEM 610.843750 1731076027.8078
MEM 610.843750 1731076027.9092
MEM 610.843750 1731076028.0099
MEM 610.843750 1731076028.1103
MEM 610.843750 1731076028.2109
MEM 610.843750 1731076028.3112
MEM 610.843750 1731076028.4119
MEM 610.843750 1731076028.5123
MEM 610.843750 1731076028.6128
MEM 610.843750 1731076028.7133
MEM 610.843750 1731076028.8139
MEM 610.843750 1731076028.9145
MEM 610.843750 1731076029.0151
MEM 610.843750 1731076029.1155
MEM 610.843750 1731076029.2158
MEM 610.843750 1731076029.3162
MEM 610.843750 1731076029.4167
MEM 610.843750 1731076029.5171
MEM 610.843750 1731076029.6175
MEM 610.843750 1731076029.7186
MEM 610.843750 1731076029.8193
MEM 610.843750 1731076029.9198
MEM 610.843750 1731076030.0202
MEM 610.843750 1731076030.1208
MEM 610.843750 1731076030.2216
MEM 610.843750 1731076030.3224
MEM 610.843750 1731076030.4229
MEM 610.843750 1731076030.5240
MEM 610.843750 1731076030.6245
MEM 610.843750 1731076030.7252
MEM 610.843750 1731076030.8258
MEM 610.843750 1731076030.9264
MEM 610.843750 1731076031.0270
MEM 610.843750 1731076031.1277
MEM 610.843750 1731076031.2282
MEM 610.843750 1731076031.3287
MEM 610.843750 1731076031.4293
MEM 610.843750 1731076031.5301
MEM 610.843750 1731076031.6311
MEM 610.843750 1731076031.7317
MEM 610.843750 1731076031.8325
MEM 610.843750 1731076031.9333
MEM 610.843750 1731076032.0337
MEM 610.843750 1731076032.1348
MEM 610.843750 1731076032.2357
MEM 610.843750 1731076032.3362
MEM 610.843750 1731076032.4369
MEM 610.843750 1731076032.5376
MEM 610.843750 1731076032.6383
MEM 610.843750 1731076032.7389
MEM 610.843750 1731076032.8395
MEM 610.843750 1731076032.9399
MEM 610.843750 1731076033.0404
MEM 610.843750 1731076033.1408
MEM 610.843750 1731076033.2415
MEM 610.843750 1731076033.3419
MEM 610.843750 1731076033.4428
MEM 610.843750 1731076033.5434
MEM 610.843750 1731076033.6439
MEM 610.843750 1731076033.7448
MEM 610.843750 1731076033.8456
MEM 610.843750 1731076033.9461
MEM 610.843750 1731076034.0471
MEM 610.843750 1731076034.1478
MEM 610.843750 1731076034.2485
MEM 610.843750 1731076034.3494
MEM 610.843750 1731076034.4499
MEM 610.843750 1731076034.5509
MEM 610.843750 1731076034.6520
MEM 610.843750 1731076034.7525
MEM 610.843750 1731076034.8532
MEM 610.843750 1731076034.9537
MEM 610.843750 1731076035.0543
MEM 610.843750 1731076035.1553
MEM 610.843750 1731076035.2558
MEM 610.843750 1731076035.3566
MEM 610.843750 1731076035.4570
MEM 610.843750 1731076035.5577
MEM 610.843750 1731076035.6584
MEM 610.843750 1731076035.7589
MEM 610.843750 1731076035.8592
MEM 610.843750 1731076035.9595
MEM 610.843750 1731076036.0601
MEM 610.843750 1731076036.1609
MEM 610.843750 1731076036.2616
MEM 610.843750 1731076036.3621
MEM 610.843750 1731076036.4626
MEM 610.843750 1731076036.5630
MEM 610.843750 1731076036.6637
MEM 610.843750 1731076036.7640
MEM 610.843750 1731076036.8644
MEM 610.843750 1731076036.9648
MEM 610.843750 1731076037.0652
MEM 610.843750 1731076037.1657
MEM 610.843750 1731076037.2662
MEM 610.843750 1731076037.3669
MEM 610.843750 1731076037.4675
MEM 610.843750 1731076037.5679
MEM 610.843750 1731076037.6684
MEM 610.843750 1731076037.7692
MEM 610.843750 1731076037.8697
MEM 610.843750 1731076037.9702
MEM 610.843750 1731076038.0706
MEM 610.843750 1731076038.1709
MEM 610.843750 1731076038.2713
MEM 610.843750 1731076038.3718
MEM 610.843750 1731076038.4723
MEM 610.843750 1731076038.5729
MEM 610.843750 1731076038.6735
MEM 610.843750 1731076038.7742
MEM 610.843750 1731076038.8747
MEM 610.843750 1731076038.9750
MEM 610.843750 1731076039.0758
MEM 610.843750 1731076039.1764
MEM 610.843750 1731076039.2770
MEM 610.843750 1731076039.3774
MEM 610.843750 1731076039.4778
MEM 610.843750 1731076039.5782
MEM 610.843750 1731076039.6786
MEM 610.843750 1731076039.7791
MEM 610.843750 1731076039.8795
MEM 610.843750 1731076039.9799
MEM 610.843750 1731076040.0803
MEM 610.843750 1731076040.1808
MEM 610.843750 1731076040.2813
MEM 610.843750 1731076040.3817
MEM 610.843750 1731076040.4823
MEM 610.843750 1731076040.5829
MEM 610.843750 1731076040.6834
MEM 610.843750 1731076040.7842
MEM 610.843750 1731076040.8847
MEM 610.843750 1731076040.9852
MEM 610.843750 1731076041.0856
MEM 610.843750 1731076041.1860
MEM 610.843750 1731076041.2867
MEM 610.843750 1731076041.3872
MEM 610.843750 1731076041.4877
MEM 610.843750 1731076041.5882
MEM 610.843750 1731076041.6887
MEM 610.843750 1731076041.7894
MEM 610.843750 1731076041.8901
MEM 610.843750 1731076041.9907
MEM 610.843750 1731076042.0917
MEM 610.843750 1731076042.1925
MEM 610.843750 1731076042.2931
MEM 610.843750 1731076042.3937
MEM 610.843750 1731076042.4949
MEM 610.843750 1731076042.5952
MEM 669.265625 1731076042.6956
MEM 669.316406 1731076042.7961
MEM 677.316406 1731076042.8966
MEM 678.343750 1731076042.9970
MEM 679.117188 1731076043.0974
MEM 680.148438 1731076043.1979
MEM 680.921875 1731076043.2982
MEM 681.953125 1731076043.3987
MEM 682.468750 1731076043.4991
MEM 731.921875 1731076043.5995
MEM 732.277344 1731076043.6998
MEM 732.535156 1731076043.8003
MEM 732.535156 1731076043.9009
MEM 732.535156 1731076044.0013
MEM 776.523438 1731076044.1017
MEM 776.523438 1731076044.2020
MEM 810.085938 1731076044.3024
MEM 810.085938 1731076044.4027
MEM 810.085938 1731076044.5030
MEM 760.734375 1731076044.6035
MEM 818.640625 1731076044.7040
MEM 829.089844 1731076044.8046
MEM 750.859375 1731076044.9050
MEM 752.406250 1731076045.0054
MEM 753.437500 1731076045.1060
MEM 754.210938 1731076045.2063
MEM 754.984375 1731076045.3066
MEM 756.015625 1731076045.4069
MEM 756.273438 1731076045.5073
MEM 756.789062 1731076045.6077
MEM 806.757812 1731076045.7082
MEM 807.015625 1731076045.8085
MEM 807.273438 1731076045.9089
MEM 807.273438 1731076046.0092
MEM 851.253906 1731076046.1096
MEM 851.253906 1731076046.2101
MEM 863.531250 1731076046.3105
MEM 863.531250 1731076046.4111
MEM 863.531250 1731076046.5116
MEM 825.867188 1731076046.6120
MEM 885.480469 1731076046.7125
MEM 802.343750 1731076046.8129
MEM 802.859375 1731076046.9133
MEM 802.859375 1731076047.0136
MEM 803.632812 1731076047.1140
MEM 803.890625 1731076047.2145
MEM 804.199219 1731076047.3149
MEM 804.972656 1731076047.4152
MEM 806.003906 1731076047.5156
MEM 806.777344 1731076047.6160
MEM 807.550781 1731076047.7165
MEM 807.808594 1731076047.8169
MEM 807.808594 1731076047.9173
MEM 808.093750 1731076048.0178
MEM 808.289062 1731076048.1181
MEM 808.289062 1731076048.2186
MEM 808.289062 1731076048.3190
MEM 808.289062 1731076048.4195
MEM 808.289062 1731076048.5201
MEM 808.289062 1731076048.6207
MEM 808.289062 1731076048.7211
MEM 808.289062 1731076048.8216
MEM 808.289062 1731076048.9222
MEM 808.289062 1731076049.0226
MEM 808.289062 1731076049.1230
MEM 808.289062 1731076049.2235
MEM 808.289062 1731076049.3241
MEM 808.289062 1731076049.4248
MEM 808.289062 1731076049.5253
MEM 808.289062 1731076049.6257
MEM 808.289062 1731076049.7263
MEM 808.289062 1731076049.8270
MEM 808.289062 1731076049.9273
MEM 808.289062 1731076050.0279
MEM 808.289062 1731076050.1285
MEM 808.289062 1731076050.2293
MEM 808.289062 1731076050.3299
MEM 808.289062 1731076050.4305
MEM 808.289062 1731076050.5310
MEM 808.289062 1731076050.6314
MEM 808.289062 1731076050.7320
MEM 808.289062 1731076050.8324
MEM 808.292969 1731076050.9330
MEM 809.835938 1731076051.0333
MEM 810.609375 1731076051.1337
MEM 811.382812 1731076051.2341
MEM 812.414062 1731076051.3346
MEM 813.445312 1731076051.4350
MEM 814.218750 1731076051.5355
MEM 815.250000 1731076051.6359
MEM 865.304688 1731076051.7364
MEM 865.734375 1731076051.8369
MEM 865.992188 1731076051.9373
MEM 865.992188 1731076052.0378
MEM 909.972656 1731076052.1382
MEM 909.972656 1731076052.2386
MEM 916.250000 1731076052.3391
MEM 954.250000 1731076052.4395
MEM 954.250000 1731076052.5399
MEM 954.250000 1731076052.6404
MEM 894.808594 1731076052.7409
MEM 970.605469 1731076052.8414
MEM 863.316406 1731076052.9418
MEM 863.382812 1731076053.0422
MEM 863.382812 1731076053.1426
MEM 775.449219 1731076053.2430
MEM 775.449219 1731076053.3435
MEM 775.449219 1731076053.4438
MEM 775.449219 1731076053.5442
MEM 775.449219 1731076053.6446
MEM 775.449219 1731076053.7449
MEM 824.734375 1731076053.8453
MEM 824.734375 1731076053.9457
MEM 824.898438 1731076054.0460
MEM 824.898438 1731076054.1464
MEM 868.878906 1731076054.2468
MEM 868.878906 1731076054.3473
MEM 900.730469 1731076054.4477
MEM 900.730469 1731076054.5482
MEM 900.730469 1731076054.6485
MEM 851.289062 1731076054.7490
MEM 917.433594 1731076054.8496
MEM 819.546875 1731076054.9500
MEM 819.546875 1731076055.0503
MEM 819.546875 1731076055.1507
MEM 819.546875 1731076055.2511
MEM 819.546875 1731076055.3515
MEM 819.546875 1731076055.4520
MEM 819.546875 1731076055.5524
MEM 819.546875 1731076055.6527
MEM 819.546875 1731076055.7531
MEM 819.546875 1731076055.8534
MEM 824.070312 1731076055.9538
MEM 824.070312 1731076056.0542
MEM 829.160156 1731076056.1547
MEM 834.183594 1731076056.2552
MEM 834.171875 1731076056.3556
MEM 834.171875 1731076056.4560
MEM 834.171875 1731076056.5565
MEM 834.171875 1731076056.6568
MEM 834.171875 1731076056.7574
MEM 834.171875 1731076056.8578
MEM 834.171875 1731076056.9583
MEM 834.171875 1731076057.0588
MEM 834.171875 1731076057.1594
MEM 834.171875 1731076057.2601
MEM 834.171875 1731076057.3609
MEM 834.171875 1731076057.4614
MEM 834.171875 1731076057.5621
MEM 839.000000 1731076057.6625
MEM 839.000000 1731076057.7629
MEM 839.000000 1731076057.8633
MEM 839.000000 1731076057.9636
MEM 839.000000 1731076058.0639
MEM 839.000000 1731076058.1644
MEM 839.000000 1731076058.2648
MEM 839.000000 1731076058.3652
MEM 888.546875 1731076058.4656
MEM 888.546875 1731076058.5659
